,local_area,address,primary_address,address is primary?,n_pids,pid,units,year_built,bsns_group,bsns_name,bsns_trade_name,bsns_type,value_land,value_bldg,bldg_land_ratio,value_per_unit,VTU members,WestEnd Inbox,VTU Main Inbox,zoning,name,management,n_issues,issues_details,VTU Building,notes,prospect?
2375,,1147 pendrell st,1147 pendrell st,TRUE,1,,7,2003,,,,,842000,529000,0.6282660333,,,,,,Mole Hill - Phase II,Mole Hill Community Housing Society,,,,,
2376,,1127 pendrell st,1127 pendrell st,TRUE,1,,7,2002,,,,,395000,151000,0.382278481,,,,,,Mole Hill - Phase I,Mole Hill Community Housing Society,,,,,
2377,Marpole,911 w 71st ave,911 w 71st ave,TRUE,1,,7,1957,['W71911 Holdings Ltd'],['W71911 Holdings Ltd'],[],['Apartment House'],2343000,298000,0.1271873666,,,,,RM-3A,,,,,,,
2378,Kitsilano,2480 vine st,2297 w broadway,FALSE,1,2902095,7,1987,,,,,7613000,93100,0.01222908183,,,,,C-3A,,,,,,,
2379,Marpole,8685 fremlin st,8685 fremlin st,TRUE,1,,7,1958,['Kun Lung Chang & Amy S H Chang'],['Kun Lung Chang & Amy S H Chang'],[],['Apartment House'],2343000,14300,0.006103286385,,,,,RM-3A,,,,,,,
2380,Kitsilano,1987 cornwall ave,1987 cornwall ave,TRUE,1,,7,1955,['(Violet Schultz)'],['(Violet Schultz)'],[],['Apartment House'],3159000,107000,0.03387147832,,,,,C-2B,,,,,,,
2381,Riley Park,455 w 18th ave,455 w 18th ave,TRUE,1,,7,1912,,,,,11066000,20000,0.001807337791,,,,,RS-7,,,,,,,
2382,Grandview-Woodland,1676 frances st,1676 frances st,TRUE,1,,7,1956,['Frances Street Holdings Ltd'],['Frances Street Holdings Ltd'],[],['Apartment House'],2361000,17900,0.007581533249,,,,,RM-4,,,,,,,
2383,Fairview,670 w 13th ave,670 w 13th ave,TRUE,1,,7,1910,['Ocean View Properties Ltd'],['Ocean View Properties Ltd'],[],['Apartment House'],2840000,95300,0.03355633803,,,,,RM-4,,,,,,,
2384,Marpole,8625 french st,8625 french st,TRUE,1,,7,1964,['Gebbard Hubatka & Elsa Hubatka'],['Gebbard Hubatka & Elsa Hubatka'],[],['Apartment House'],2466000,12800,0.005190592052,,,,,RM-3A,,,,,,,
2385,Grandview-Woodland,1515 e 4th ave,1515 e 4th ave,TRUE,1,,7,1955,['Rahmat A Khan & Nazra A Khan'],['Rahmat A Khan & Nazra A Khan'],[],['Apartment House'],2653000,18600,0.007010931021,,,,,RM-4,,,,,,,
2386,Mount Pleasant,214 w 11th ave,214 w 11th ave,TRUE,1,,7,1911,,,,,2534000,132000,0.05209155485,,,,,RT-6,,,,,,,
2387,Marpole,8686 oak st,8686 oak st,TRUE,1,,7,1954,,,,,2085000,620000,0.2973621103,,,,,RM-3A,,,,,,,
2388,Kitsilano,2037 w 16th ave,2037 w 16th ave,TRUE,1,,7,1912,,,,,2464000,362000,0.1469155844,,,,,RT-8,,,,,,,
2389,Marpole,8755 french st,8755 french st,TRUE,1,,7,1963,['Grandview Enterprises Ltd'],['Grandview Enterprises Ltd'],[],['Apartment House'],2466000,12400,0.00502838605,,,,,RM-3A,,,,,,,
2390,Sunset,6106 chester st,6106 chester st,TRUE,1,,7,1910,,,,,1750000,465000,0.2657142857,,,,,RS-1,,,,,,,
2391,Mount Pleasant,426 w 12th ave,426 w 12th ave,TRUE,1,,7,1912,,,,,2454000,334000,0.1361043195,,,,,RT-6,,,,,,,
2392,Strathcona,898 keefer st,898 keefer st,TRUE,1,,7,1905,,,,,6000000,22600,0.003766666667,,,,,RT-3,,,,,,,
2393,Mount Pleasant,748 e broadway,750 e broadway,FALSE,1,15251675,7,1912,,,,,0,0,,,,,,C-2C,,,,,,,
2394,Grandview-Woodland,1568 e 3rd ave,1568 e 3rd ave,TRUE,1,,7,1968,['Robert Wing Wong (Robert Wong)'],['Robert Wing Wong (Robert Wong)'],[],['Apartment House'],2766000,19600,0.00708604483,,,,,RM-4,,,,,,,
2395,Mount Pleasant,209 e 15th ave,209 e 15th ave,TRUE,1,,7,1954,['Maxwell Ventures Inc'],['Maxwell Ventures Inc'],[],['Apartment House'],2122000,1044000,0.4919886899,,,,,RM-4,,,,,,,
2396,Arbutus-Ridge,2225 w 39th ave,2225 w 39th ave,TRUE,1,,7,1957,['Heather May Moore & Allan T Moore'],['Heather May Moore & Allan T Moore'],[],['Apartment House'],2690000,699000,0.2598513011,,,,,RM-3,,,,,,,
2397,Kitsilano,2386 w 3rd ave,2386 w 3rd ave,TRUE,1,,7,1912,,,,,3654000,245000,0.06704980843,,,,,C-2B,,,,,,,
2398,Sunset,1394 e 62nd ave,7805 knight st,FALSE,1,9828958,7,1957,,,,,2408000,87200,0.03621262458,,,,,RM-2,,,,,,,
2399,Riley Park,3995 main st,3995 main st,TRUE,1,,7,1910,,,,,2543000,179000,0.07038930397,,,,,C-2,,,,,,,
2400,Fairview,812 w 14th ave,812 w 14th ave,TRUE,1,,7,1912,,,,,3197000,128000,0.04003753519,,,,,RM-4,,,,,,,
2401,Grandview-Woodland,1986 woodland dr,1986 woodland dr,TRUE,1,,7,1983,['(Danny Nikas)'],['(Danny Nikas)'],[],['Apartment House'],2653000,336000,0.1266490765,,,,,RM-4,,,,,,,
2402,Hastings-Sunrise,2770 cambridge st,2770 cambridge st,TRUE,1,,7,1910,,,,,6828000,20000,0.002929115407,,,,,RS-1,,,,,,,
2403,Mount Pleasant,1005 e 8th ave,2360 windsor st,FALSE,1,14939215,7,1913,,,,,0,0,,,,,,RM-4,,,,,,,
2404,Fairview,1585 w 14th ave,1585 w 14th ave,TRUE,1,,7,1926,['420668 BC Ltd'],['420668 BC Ltd'],[],['Apartment House'],3150000,14800,0.004698412698,,,,,RM-3,,,,,,,
2405,Marpole,1347 w 72nd ave,1347 w 72nd ave,TRUE,1,,7,1964,['587091 BC Ltd'],['587091 BC Ltd'],[],['Apartment House'],2982000,15400,0.005164319249,,,,,RM-3A,,,,,,,
2406,Grandview-Woodland,823 victoria dr,823 victoria dr,TRUE,1,,7,1956,['Makadale Investments Ltd'],['Makadale Investments Ltd'],[],['Apartment House'],2359000,122000,0.05171682916,,,,,RM-4,,,,,,,
2407,Kitsilano,2554 cornwall ave,2554 cornwall ave,TRUE,1,,7,1912,,,,,3351000,307000,0.09161444345,,,,,RT-8,,,,,,,
2408,,1173 pendrell st,1173 pendrell st,TRUE,1,,7,2003,,,,,367000,149000,0.4059945504,,,,,,Mole Hill - Phase II,Mole Hill Community Housing Society,,,,,
2409,Grandview-Woodland,2023 grant st,2023 grant st,TRUE,1,,7,1912,,,,,1829000,241000,0.1317659923,,,,,RT-5,,,,,,,
2410,Kitsilano,2200 w 5th ave,2200 w 5th ave,TRUE,1,,7,1910,['Forex West Lands Inc'],['Forex West Lands Inc'],[],['Apartment House'],1412000,3986000,2.822946176,,,,,RM-4,,,,,,,
2411,Shaughnessy,1040 w 16th ave,1040 w 16th ave,TRUE,1,,7,1912,['Janet Cui Hong Kam (Janet Kam)'],['Janet Cui Hong Kam (Janet Kam)'],[],['Apartment House'],3878000,121000,0.03120165034,,,,,RT-2,,,,,,,
2412,Sunset,6201 fraser st,6207 fraser st,FALSE,1,25767348,7,1912,,,,,5279000,788000,0.1492706952,,,,,C-2,,,,,,,
2413,Kitsilano,2706 w 2nd ave,2706 w 2nd ave,TRUE,1,,7,1913,,,,,0,0,,,,,,RT-8,,,,,,,
2414,Sunset,6035 fraser st,6037 fraser st,FALSE,1,13910027,7,1964,,,,,5225000,1650000,0.3157894737,,,,,C-2,,,,,,,
2415,Fairview,2925 oak st,2925 oak st,TRUE,1,,7,1927,['Golden Pacific Holdings Ltd'],['Golden Pacific Holdings Ltd'],[],['Apartment House'],2835000,359000,0.1266313933,,,,,RM-3,,,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2925&street=OAK%20STREET,,,
2416,Hastings-Sunrise,2624 franklin st,2624 franklin st,TRUE,1,,7,1913,,,,,1591000,268000,0.1684475173,,,,,RS-1,,,,,,,
2417,,1110 bute st,1110 bute st,TRUE,1,,7,2003,,,,,482000,230000,0.4771784232,,,,,,Mole Hill - Phase II,Mole Hill Community Housing Society,,,,,
2418,Grandview-Woodland,2035 pandora st,2035 pandora st,TRUE,1,,7,1969,['Sabrina Vieira da Silva & Daniel da Silva'],['Sabrina Vieira da Silva & Daniel da Silva'],[],['Apartment House'],2174000,197000,0.09061637534,,,,,RM-3A,,,,,,,
2419,Kitsilano,2315 w 6th ave,2315 w 6th ave,TRUE,1,,7,1912,,,,,3080000,162000,0.0525974026,,,,,RT-8,,,,,,,
2420,Kitsilano,1886 w 12th ave,1886 w 12th ave,TRUE,1,,7,1912,,,,,2459000,178000,0.07238714925,,,,,RT-8,,,,,,,
2421,Kitsilano,2526 w 6th ave,2526 w 6th ave,TRUE,1,,7,1910,,,,,3080000,86900,0.02821428571,,,,,RT-8,,,,,,,
2422,Kensington-Cedar Cottage,707 e 21st ave,707 e 21st ave,TRUE,1,,7,1955,,,,,2319000,13700,0.005907718844,,,,,RM-3A,,,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=707&street=E%2021ST%20AVENUE,,,
2423,Grandview-Woodland,1200 woodland dr,1202 woodland dr,FALSE,1,12464104,7,1908,,,,,2626000,110000,0.04188880427,,,,,RM-4,,,,,,,
2424,Kitsilano,1827 w 12th ave,1827 w 12th ave,TRUE,1,,7,1928,['Mika A Yasutake & Yuko Yasutake'],['Mika A Yasutake & Yuko Yasutake'],[],['Apartment House'],2459000,363000,0.1476209841,,,,,RT-8,,,,,,,
2425,Kitsilano,2536 w 2nd ave,2536 w 2nd ave,TRUE,1,,7,1912,,,,,3351000,329000,0.09817964787,,,,,RT-8,,,,,,,
2426,Strathcona,626 main st,628 main st,FALSE,1,14938898,7,1949,,,,,2442000,10200,0.004176904177,,,,,C-2,,,,,,,
2427,Kitsilano,1855 creelman ave,1855 creelman ave,TRUE,1,,7,1912,,,,,3263000,1281000,0.3925835121,,,,,RT-9,,,,,,,
2428,Fairview,1775 w 16th ave,1775 w 16th ave,TRUE,1,,7,1920,,,,,0,0,,,,,,RT-5,,,,,,,
2429,Hastings-Sunrise,3618 e hastings st,3622 e hastings st,FALSE,1,6728286,7,1980,,,,,2358000,3527000,1.495759118,,,,,C-2C,,,,,,,
2430,Kitsilano,1995 w 15th ave,1995 w 15th ave,TRUE,1,,7,1912,,,,,3304000,141000,0.04267554479,,,,,RT-8,,,,,,,
2431,Grandview-Woodland,1931 william st,1931 william st,TRUE,1,,7,1910,,,,,1908000,289000,0.1514675052,,,,,RT-5,,,,,,,
2432,Grandview-Woodland,1916 e 5th ave,1916 e 5th ave,TRUE,1,,7,1956,['1015677 BC Ltd'],['1015677 BC Ltd'],[],['Apartment House'],2263000,18700,0.008263367212,,,,,RT-5,,,,,,,
2433,Fairview,1131 w 16th ave,1131 w 16th ave,TRUE,1,,7,1927,,,,,3342000,85400,0.02555356074,,,,,RT-2,,,,,,,
2434,Marpole,8516 granville st,8536 granville st,FALSE,1,15390314,7,1976,,,,,10296000,20000,0.001942501943,,,,,C-2,,,,,,,
2435,Mount Pleasant,2749 main st,2749 main st,TRUE,1,,7,1910,,,,,6209000,18400,0.002963440167,,,,,C-3A,,,,,,,
2436,Fairview,975 w 14th ave,975 w 14th ave,TRUE,1,,7,1912,,,,,3806000,90200,0.02369942197,,,,,RM-4,,,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=975&street=W%2014TH%20AVENUE,,,
2437,Kitsilano,2926 w 5th ave,2926 w 5th ave,TRUE,1,,7,1910,,,,,3424000,347000,0.1013434579,,,,,RT-7,,,,,,,
2438,Dunbar-Southlands,4305 dunbar st,3600 w 27th ave,FALSE,1,11156589,7,1927,,,,,5235000,1063000,0.2030563515,,,,,C-2,,,,,,,
2439,Mount Pleasant,223 w 13th ave,223 w 13th ave,TRUE,1,,7,1913,,,,,2988000,362000,0.1211512718,,,,,RT-6,,,4,http://app.vancouver.ca/RPS_Net/Default.aspx?num=223&street=W%2013TH%20AVENUE,,,
2440,Marpole,7510 cambie st,7516 cambie st,FALSE,1,29788897,7,1973,,,,,36293000,10000,0.0002755352272,,,,,CD-1 (627),,,,,,,
2441,Victoria-Fraserview,1404 e 57th ave,1404 e 57th ave,TRUE,1,,7,1964,,,,,11834000,249800,0.02110866993,,,,,C-1,,,,,,,
2442,Kitsilano,2505 w 2nd ave,2505 w 2nd ave,TRUE,1,,7,1912,,,,,3527000,251000,0.07116529629,,,,,RT-8,,,2,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2505&street=W%202ND%20AVENUE,,,
2443,Grandview-Woodland,1555 e 5th ave,1555 e 5th ave,TRUE,1,,7,1963,['Shui Shum Gin & Lew Why Yee'],['Shui Shum Gin & Lew Why Yee'],[],['Apartment House'],2653000,19400,0.007312476442,,,,,RM-4,,,,,,,
2444,,1119 thurlow st,1119 thurlow st,TRUE,1,,7,2003,,,,,522000,5300,0.0101532567,,,,,,Mole Hill - Phase II,Mole Hill Community Housing Society,,,,,
2445,Marpole,8725 cartier st,8725 cartier st,TRUE,1,,7,1969,['Cartier Management Ltd'],['Cartier Management Ltd'],[],['Apartment House'],2982000,12400,0.004158283032,,,,,RM-3A,,,3,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8725&street=CARTIER%20STREET,,,
2446,Marpole,1425 w 70th ave,1425 w 70th ave,TRUE,1,,6,1964,['0924733 BC Ltd'],['0924733 BC Ltd'],[],['Apartment House'],2166000,346000,0.1597414589,,,,,RM-3A,,,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1425&street=W%2070TH%20AVENUE,,,
2447,Mount Pleasant,2301 main st,2303 main st,FALSE,1,15106179,6,1905,,,,,5365000,13200,0.002460391426,,,,,C-3A,,,,,,,
2448,,5650 oak st,5650 oak st,TRUE,1,,6,1997,['Vancouver Resource Society for the Physically Disabled'],['Vancouver Resource Society for the Physically Disabled'],[],['Non-profit Housing'],0,0,,,,,,,Bloomfield Gardens,Vancouver Resource Society for the Physically Disabled,,,,,
2449,Grandview-Woodland,1316 commercial dr,1316 commercial dr,TRUE,1,,6,1948,['Celador Enterprises Ltd'],['Celador Enterprises Ltd'],[],['Apartment House'],17484000,9516000,0.544269046,,,,,C-2C,,,3,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1316&street=COMMERCIAL%20DRIVE,,,
2450,Kitsilano,2246 w 4th ave,2246 w 4th ave,TRUE,1,,6,1988,['William Lee & Linda Jow'],['William Lee & Linda Jow'],[],['Apartment House'],8108000,30300,0.003737049827,,,,,C-2B,,,,,,,
2451,Mount Pleasant,1125 e 14th ave,1125 e 14th ave,TRUE,1,,6,1973,,,,,2217000,169000,0.07622913848,,,,,RT-5,,,,,,,
2452,,1103 pendrell st,1103 pendrell st,TRUE,1,,6,2003,,,,,337000,153000,0.4540059347,,,,,,Mole Hill - Phase II,Mole Hill Community Housing Society,,,,,
2453,Hastings-Sunrise,3634 e hastings st,3648 e hastings st,FALSE,1,10299807,6,1953,,,,,2301000,1187000,0.5158626684,,,,,C-2C,,,,,,,
2454,South Cambie,960 w 18th ave,952 w 18th ave,FALSE,1,9875816,6,1954,,,,,0,0,,,,,,RT-2,,,,,,,
2455,Fairview,2970 oak st,2970 oak st,TRUE,1,,6,1926,['(Danny Wong)'],['(Danny Wong)'],[],['Apartment House'],2835000,178000,0.06278659612,,,,,RM-3,,,,,,,
2456,Fairview,1270 w 11th ave,1270 w 11th ave,TRUE,1,,6,1931,['Becison Holdings Corp'],['Becison Holdings Corp'],[],['Apartment House'],3150000,13200,0.00419047619,,,,,RM-3,,,,,,,
2457,Fairview,954 w 14th ave,954 w 14th ave,TRUE,1,,6,1914,,,,,3806000,221000,0.05806621125,,,,,RM-4,,,,,,,
2458,Grandview-Woodland,1725 mclean dr,1725 mclean dr,TRUE,1,,6,1957,,,,,2228000,901000,0.4043985637,,,,,RM-4N,,,,,,,
2459,Marpole,1377 w 70th ave,1377 w 70th ave,TRUE,1,,6,1952,['Mohsen Holdings Corporation'],['Mohsen Holdings Corporation'],[],['Apartment House'],2280000,242000,0.1061403509,,,,,RM-3A,,,,,,,
2460,Fairview,1596 w 10th ave,1596 w 10th ave,TRUE,1,,6,1910,,,,,3150000,135000,0.04285714286,,,,,RM-3,,,2,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1596&street=W%2010TH%20AVENUE,,,
2461,Fairview,2930 granville st,2930 granville st,TRUE,1,,6,1912,['Choo Bros Investments Ltd'],['Choo Bros Investments Ltd'],[],['Apartment House'],4088000,2677000,0.6548434442,,,,,C-3A,,,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2930&street=GRANVILLE%20STREET,,,
2462,Riley Park,3612 main st,3616 main st,FALSE,1,6146295,6,1993,,,,,4611000,563000,0.1220993277,,,,,C-2,,,,,,,
2463,Mount Pleasant,2602 ontario st,2602 ontario st,TRUE,1,,6,1912,,,,,1718000,138000,0.08032596042,,,,,RM-4,,,,,,,
2464,Kensington-Cedar Cottage,1412 e 27th ave,1412 e 27th ave,TRUE,1,,6,1910,,,,,1300000,56100,0.04315384615,,,,,RM-1N,,,,,,,
2465,Grandview-Woodland,1765 adanac st,1765 adanac st,TRUE,1,,6,1948,['Chew Leong Chow & Lai Kwan Chow'],['Chew Leong Chow & Lai Kwan Chow'],[],['Apartment House'],2335000,9800,0.004197002141,,,,,RM-4,,,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1765&street=ADANAC%20STREET,,,
2466,Kitsilano,1865 w 12th ave,1865 w 12th ave,TRUE,1,,6,1912,,,,,2459000,549000,0.2232614884,,,,,RT-8,,,,,,,
2467,Grandview-Woodland,1828 commercial dr,1828 commercial dr,TRUE,1,,6,1910,['(Maria Migliuri)'],['(Maria Migliuri)'],[],['Apartment House'],2564000,2418000,0.9430577223,,,,,C-2C,,,,,,,
2468,Fairview,2845 hemlock st,2845 hemlock st,TRUE,1,,6,1977,,,,,3150000,479000,0.1520634921,,,,,RM-3,,,,,,,
451,West End,855 jervis st,855 jervis st,TRUE,1,,48,1959,['855 Jervis Street Holdings Inc'],['855 Jervis Street Holdings Inc'],[],['Apartment House'],"$11,034,000.00","$32,806,000.00",2.973173826,"$913,333.33",,,,RM-5,,,,,,,
2470,Kitsilano,2285 w 10th ave,2285 w 10th ave,TRUE,1,,6,1931,['Fortune Securities Ltd'],['Fortune Securities Ltd'],[],['Apartment House'],2812000,13000,0.004623044097,,,,,C-7,,,,,,,
2471,Mount Pleasant,49 w 12th ave,47 w 12th ave,FALSE,1,10857656,6,1905,,,,,0,0,,,,,,RT-6,,,,,,,
2472,Kitsilano,2536 w 4th ave,2536 w 4th ave,TRUE,1,,6,1932,['490297 BC Ltd'],['490297 BC Ltd'],[],['Apartment House'],2877000,641000,0.2228015294,,,,,RM-4,,,,,,,
2473,Kitsilano,2635 w 1st ave,2635 w 1st ave,TRUE,1,,6,1905,['(Angelos Graffos)'],['(Angelos Graffos)'],[],['Apartment House'],3696000,214000,0.0579004329,,,,,RT-8,,,,,,,
2474,Kensington-Cedar Cottage,1858 e 15th ave,1858 e 15th ave,TRUE,1,,6,1912,,,,,1393000,316000,0.2268485284,,,,,RT-5,,,,,,,
2475,,1120 comox st,1120 comox st,TRUE,1,,6,2001,,,,,386000,168000,0.4352331606,,,,,,Mole Hill - Phase I,Mole Hill Community Housing Society,,,,,
2476,Riley Park,4391 main st,4395 main st,FALSE,1,14291703,6,1948,,,,,0,0,,,,,,C-2,,,,,,,
2477,Fairview,1555 w 14th ave,1555 w 14th ave,TRUE,1,,6,1927,['Harkerson BC Wholesale Lumber (1996) Ltd'],['Harkerson BC Wholesale Lumber (1996) Ltd'],[],['Apartment House'],3150000,17700,0.005619047619,,,,,RM-3,,,,,,,
2478,Kitsilano,2406 w 5th ave,2406 w 5th ave,TRUE,1,,6,1912,,,,,3242000,184000,0.05675508945,,,,,RT-8,,,,,,,
127,West End,840 broughton st,840 broughton st,TRUE,1,,100,1966,['Hollyburn Properties Ltd'],['Hollyburn Properties Limited'],['Casa Bella'],['Apartment House'],"$50,576,000.00","$151,032,000.00",2.986238532,"$2,016,080.00",,,,RM-5,,,,,,,
2480,Mount Pleasant,24 e 10th ave,24 e 10th ave,TRUE,1,,6,1910,,,,,2092000,143000,0.06835564054,,,,,RM-4,,,,,,,
2481,Kitsilano,2573 w 3rd ave,2573 w 3rd ave,TRUE,1,,6,1912,,,,,0,0,,,,,,RT-8,,,,,,,
2482,Riley Park,32 e 17th ave,32 e 17th ave,TRUE,1,,6,1918,,,,,2425000,327000,0.1348453608,,,,,RS-7,,,,,,,
95,West End,945 jervis st,945 jervis st,TRUE,1,,109,1971,['Starlight Investments'],['IMH 945 JERVIS APARTMENTS LTD'],[],['Apartment House'],"$63,220,000.00","$189,090,000.00",2.990983866,"$2,314,770.64",,,,RM-5,,,,,,,
2484,Kitsilano,2394 w 6th ave,2394 w 6th ave,TRUE,1,,6,1912,,,,,3097000,290000,0.09363900549,,,,,RT-8,,,,,,,
2485,Grandview-Woodland,1815 commercial dr,1817 commercial dr,FALSE,1,9935509,6,1911,,,,,5366000,1421000,0.264815505,,,,,C-2C,,,,,,,
2486,Mount Pleasant,305 w 11th ave,305 w 11th ave,TRUE,1,,6,1912,,,,,2667000,325000,0.1218597675,,,,,RT-6,,,,,,,
2487,Kensington-Cedar Cottage,1530 e broadway,1530 e broadway,TRUE,1,,6,1950,['Broadway Terrace Development Ltd'],['Broadway Terrace Development Ltd'],[],['Apartment House'],5730000,17000,0.002966841187,,,,,RM-4N,,,5,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1530&street=E%20BROADWAY,,,
2488,Hastings-Sunrise,2594 eton st,2594 eton st,TRUE,1,,6,1909,,,,,3675000,170000,0.0462585034,,,,,C-1,,,,,,,
2489,Mount Pleasant,562 e broadway,2525 carolina st,FALSE,1,30880777,6,1971,,,,,0,0,,,,,,C-2C,,,,,,,
2490,South Cambie,4867 cambie st,4867 cambie st,TRUE,1,,6,2014,,,,,0,0,,,,,,CD-1 (541),,,,,,,
2491,Strathcona,596 union st,596 union st,TRUE,1,,6,1905,['Irma A Benedetti (Irma Benedetti)'],['Irma A Benedetti (Irma Benedetti)'],[],['Apartment House'],2337000,140400,0.06007702182,,,,,RT-3,,,,,,,
2492,Kitsilano,1805 w 13th ave,1805 w 13th ave,TRUE,1,,6,1912,,,,,2787000,271000,0.09723717259,,,,,RT-8,,,,,,,
2493,Kitsilano,1907 collingwood st,1907 collingwood st,TRUE,1,,6,1912,,,,,2921000,74000,0.0253337898,,,,,RT-8,,,,,,,
2494,Kitsilano,1905 w 16th ave,1905 w 16th ave,TRUE,1,,6,1912,,,,,2464000,180000,0.07305194805,,,,,RT-8,,,,,,,
2495,Strathcona,340 e hastings st,338 e hastings st,FALSE,1,15576990,6,1982,,,,,991000,855000,0.862764884,,,,,DEOD,,,,,,,
2496,Mount Pleasant,2631 columbia st,2631 columbia st,TRUE,1,,6,1912,,,,,3121000,398000,0.1275232297,,,,,RT-6,,,,,,,
2497,Mount Pleasant,550 e 15th ave,550 e 15th ave,TRUE,1,,6,1927,,,,,2950000,12900,0.004372881356,,,,,C-2C,,,,,,,
2498,Strathcona,818 e pender st,818 e pender st,TRUE,1,,6,1905,,,,,3998000,1288000,0.3221610805,,,,,RT-3,,,,,,,
2499,Fairview,1200 w 15th ave,1200 w 15th ave,TRUE,1,,6,1910,,,,,3007000,126000,0.04190222813,,,,,RT-2,,,,,,,
2500,South Cambie,945 w 19th ave,935 w 19th ave,FALSE,1,9876120,6,1954,,,,,0,0,,,,,,RT-2,,,,,,,
2501,Kitsilano,2230 cornwall ave,2230 cornwall ave,TRUE,1,,6,1926,,,,,4384000,12900,0.002942518248,,,,,RM-4,,,,,,,
2502,Kitsilano,3618 w 14th ave,3618 w 14th ave,TRUE,1,,6,1912,,,,,3377000,244000,0.07225347942,,,,,RS-1,,,,,,,
2503,Riley Park,3707 main st,3709 main st,FALSE,1,15257614,6,1922,,,,,4630000,1067000,0.2304535637,,,,,C-2,,,,,,,
94,West End,1460 barclay st,1460 barclay st,TRUE,1,,109,1970,['Barclay Properties Ltd'],['Barclay Properties Ltd'],[],['Apartment House'],"$63,220,000.00","$190,335,000.00",3.010677001,"$2,326,192.66",,,,RM-5,,,,,,,
2505,Kitsilano,2477 w 3rd ave,2477 w 3rd ave,TRUE,1,,6,2003,,,,,3654000,261000,0.07142857143,,,,,RM-4,,,,,,,
2506,Shaughnessy,1003 wolfe ave,1003 wolfe ave,TRUE,1,,6,1931,,,,,1533000,1430000,0.9328114808,,,,,RM-3A,,,,,,,
2507,Grandview-Woodland,1704 e 1st ave,1704 e 1st ave,TRUE,1,,6,1912,['LQ Investment Ltd'],['LQ Investment Ltd'],[],['Apartment House'],2686000,2564000,0.9545793001,,,,,C-2C,,,,,,,
2508,Mount Pleasant,225 w 12th ave,225 w 12th ave,TRUE,1,,6,1910,['(Constance Ou)'],['(Constance Ou)'],[],['Apartment House'],2466000,119000,0.04825628548,,,,,RT-6,,,,,,,
2509,Mount Pleasant,325 w 12th ave,325 w 12th ave,TRUE,1,,6,1910,,,,,2466000,155000,0.06285482563,,,,,RT-6,,,,,,,
2510,South Cambie,946 w 18th ave,936 w 18th ave,FALSE,1,9875824,6,1954,,,,,0,0,,,,,,RT-2,,,,,,,
550,West End,1450 burnaby st,1450 burnaby st,TRUE,1,,42,1964,['1450 Burnaby Street Holdings Ltd'],['1450 Burnaby Street Holdings Ltd'],[],['Apartment House'],"$5,057,000.00","$15,467,000.00",3.058532727,"$488,666.67",,,,RM-5A,,,,,,,
2512,Grandview-Woodland,1665 e 5th ave,1665 e 5th ave,TRUE,1,,6,1910,,,,,2762000,10000,0.003620564808,,,,,RM-4,,,,,,,
2513,Kitsilano,2346 w 5th ave,2346 w 5th ave,TRUE,1,,6,1912,['Anee Holdings Ltd'],['Anee Holdings Ltd'],[],['Apartment House'],3080000,245000,0.07954545455,,,,,RT-8,,,,,,,
2514,,1139 pendrell st,1139 pendrell st,TRUE,1,,6,2002,,,,,379000,162000,0.4274406332,,,,,,Mole Hill - Phase I,Mole Hill Community Housing Society,,,,,
2515,Mount Pleasant,1177 e 14th ave,1171 e 14th ave,FALSE,1,15376974,6,1910,,,,,2334000,190000,0.08140531277,,,,,RT-5,,,,,,,
2516,Grandview-Woodland,1806 william st,1806 william st,TRUE,1,,6,1954,,,,,2141000,10000,0.004670714619,,,,,RT-5,,,,,,,
2517,Kitsilano,1709 stephens st,1709 stephens st,TRUE,1,,6,1910,,,,,2324000,50500,0.02172977625,,,,,RT-8,,,,,,,
126,West End,1086 bute st,1086 bute st,TRUE,1,,100,1910,['Pacific Cove Properties'],['Strathmore Lodge Ltd'],['Strathmore Lodge Apartments'],['Apartment House'],"$9,272,000.00","$28,502,000.00",3.073986195,"$377,740.00",,,,RM-5B,,,,,,,
2519,Kitsilano,2365 w 7th ave,2365 w 7th ave,TRUE,1,,6,1910,,,,,3080000,83400,0.02707792208,,,,,RT-8,,,,,,,
2520,Grandview-Woodland,1420 napier st,1420 napier st,TRUE,1,,6,1912,,,,,1224000,2368000,1.934640523,,,,,RM-4,,,,,,,
2521,Kitsilano,2293 w 6th ave,2293 w 6th ave,TRUE,1,,6,1947,,,,,3654000,2703000,0.7397372742,,,,,RM-4,,,,,,,
2522,South Cambie,959 w 19th ave,951 w 19th ave,FALSE,1,9876138,6,1955,,,,,0,0,,,,,,RT-2,,,,,,,
2523,Grandview-Woodland,1873 venables st,1873 venables st,TRUE,1,,6,1910,,,,,2259000,212000,0.09384683488,,,,,RT-5,,,,,,,
