,local_area,address,primary_address,address is primary?,n_pids,pid,units,year_built,bsns_group,bsns_name,bsns_trade_name,bsns_type,value_land,value_bldg,bldg_land_ratio,value_per_unit,VTU members,WestEnd Inbox,VTU Main Inbox,zoning,name,management,n_issues,issues_details,VTU Building,notes,prospect?
49,,220 princess ave,220 princess ave,TRUE,1,,147,2015,['Raincity Housing and Support Society'],['Raincity Housing and Support Society'],['Budzey Building'],['Non-profit Housing'],144001,1519001,10.5485448,,,,,,Budzey Building,Raincity Housing and Support Society,7,http://app.vancouver.ca/RPS_Net/Default.aspx?num=220&street=PRINCESS%20AVENUE,,,
816,West End,955 thurlow st,955 thurlow st,TRUE,1,,32,1928,['JKL Holdings Ltd'],['JKL Holdings Ltd'],['The Biltmore Apartments'],['Apartment House'],"$27,818,000.00","$115,400.00",0.004148393127,"$872,918.75",,,,RM-5B,,,,,,,
51,,403 e hastings st,403 e hastings st,TRUE,1,,145,2021,,,,,9865500,57873000,5.866200395,,,,,,The Patricia,Atira Women’s Resource Society,,,,,
52,,1455 e 3rd ave,1455 e 3rd ave,TRUE,1,,145,1973,,,,,0,0,,,,,,,Grandview Tower #1,Baptist Housing Society of B.C.,,,,,
503,West End,1209 jervis st,1209 jervis st,TRUE,1,,45,1910,['0811930 BC Ltd'],['0811930 BC Ltd'],[],['Apartment House'],"$27,688,000.00","$119,000.00",0.004297890783,"$617,933.33",1,1,,RM-5D,,,3,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1209&street=JERVIS%20STREET,,smushed egg mcmuffin on the wall,yes
54,,1134 burrard st,1134 burrard st,TRUE,1,,141,2014,['The Kettle Friendship Society'],['The Kettle Friendship Society'],[],['Non-profit Housing'],1979001,8747001,4.419907317,,,,,,Kettle on Burrard,Kettle Friendship Society,,,,,
55,,111 princess ave,111 princess ave,TRUE,1,,139,2014,['PHS Community Services Society'],['PHS Community Services Society'],['Alexander Street Community'],['Non-profit Housing'],1,1,1,,,,,,Alexander Street Community,PHS Community Services Society,6,http://app.vancouver.ca/RPS_Net/Default.aspx?num=111&street=PRINCESS%20AVENUE,,,
56,,6465 vivian st,6465 vivian st,TRUE,1,,139,2020,,,,,2660000,9716000,3.652631579,,,,,,Vivian Apartments,Fair Haven Homes Society,,,,,
67,West End,1444 alberni st,1444 alberni st,TRUE,1,,129,1970,,,,,"$149,107,000.00","$647,000.00",0.004339165834,"$1,160,883.72",,,,DD,,,,,,,nah?
58,,603 w 59th ave,603 w 59th ave,TRUE,1,,138,2022,['SUCCESS Housing Society'],['SUCCESS Affordable Housing Society'],[],['Non-profit Housing'],13040000,12764000,0.9788343558,,,,,,Dogwood Gardens,S.U.C.C.E.S.S.,,,,,
2642,West End,1093 nicola st,1093 nicola st,TRUE,1,,6,1935,,,,,"$2,992,000.00","$13,200.00",0.004411764706,"$500,866.67",,,,RM-5,,,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1093&street=NICOLA%20STREET,,,
60,Fairview,1755 w 14th ave,1755 w 14th ave,TRUE,1,,137,1972,['Sun Life Assurance Company of Canada'],['Sun Life Assurance Company of Canada'],[],['Apartment House'],35312000,117318000,3.322326688,,,,,CD-1 (661),,,,,,,
1744,West End,1519 beach ave,1519 beach ave,TRUE,1,,12,1931,['Mrs W Gutmann & Estate Of Dr Gutmann (W Gutmann)'],['Mrs W Gutmann & Estate Of Dr Gutmann (W Gutmann)'],['Dr Guntard Gutmann'],['Apartment House'],"$7,081,000.00","$32,900.00",0.004646236407,"$592,825.00",,,,RM-5A,,,,,,,
62,,1221 seymour st,1221 seymour st,TRUE,1,,136,2000,['Affordable Housing Advisory Association'],['Affordable Housing Advisory Association'],[],['Non-profit Housing'],1,1,1,,,,,,Seymour Place,Affordable Housing Societies,,,,,
63,,95 e 1st ave,95 e 1st ave,TRUE,1,,135,2018,,,,,3603000,18076000,5.016930336,,,,,,95 E 1st Ave,Community Land Trust Foundation of BC,,,,,
64,,310 alexander st,310 alexander st,TRUE,1,,133,1986,['THE VETERANS MEMORIAL HOUSING SOCIETY'],['THE VETERANS MEMORIAL HOUSING SOCIETY'],['Veterans Memorial Manor'],['Non-profit Housing'],2400006,7890006,3.287494281,,,,,,Veterans Memorial Manor,Veterans' Memorial Housing Society,,,,,
627,West End,2010 barclay st,2010 barclay st,TRUE,1,,39,1952,['Razgul Holdings Ltd'],['Razgul Holdings Ltd'],[],['Apartment House'],"$16,080,000.00","$76,300.00",0.004745024876,"$414,264.10",,,,RM-5B,,,3,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2010&street=BARCLAY%20STREET,,,
66,,188 e 1st ave,188 e 1st ave,TRUE,1,,129,2012,['Lookout Housing and Health Society'],['Lookout Housing and Health Society'],[],['Non-profit Housing'],1099001,1263001,1.149226434,,,,,,First Place,Lookout Housing and Health Society,2,http://app.vancouver.ca/RPS_Net/Default.aspx?num=188&street=E%201ST%20AVENUE,,,
1090,West End,1056 burnaby st,1056 burnaby st,TRUE,1,,23,1956,['The Wellington Society'],['The Wellington Society'],['Caldon Apartments'],['Non-profit Housing'],"$9,272,000.00","$45,700.00",0.004928817947,"$405,117.39",,,,RM-5A,,,,,,,
1252,West End,1039 burnaby st,1039 burnaby st,TRUE,1,,21,1953,['Francis Drake Holdings Ltd'],['Francis Drake Holdings Ltd'],[],['Apartment House'],"$7,911,000.00","$39,000.00",0.00492984452,"$378,571.43",,,,RM-5A,,,,,,,
69,,1091 sitka square,1091 sitka square,TRUE,1,,125,1977,,,,,0,0,,,,,,,Van Coeverden Court,New Chelsea Society,,,,,
2639,West End,1020 chilco st,1020 chilco st,TRUE,1,,6,1952,['Moza Holdings Limited'],['Moza Holdings Limited'],[],['Apartment House'],"$3,002,000.00","$15,400.00",0.005129913391,"$502,900.00",,,,RM-5B,,,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1020&street=CHILCO%20STREET,,,
71,,131 w hastings st,131 w hastings st,TRUE,1,,125,2010,['PHS Community Services Society'],['PHS Community Services Society'],['Woodwards Community Housing'],['Non-profit Housing'],1,1,1,,,,,,Woodwards - singles,PHS Community Services Society,,,,,
72,,3484 kingsway,3484 kingsway,TRUE,1,,123,2014,['City of Vancouver'],['City of Vancouver'],['Kingsway Continental'],['Non-profit Housing'],29234000,222100,0.007597318191,,,,,,Kingsway Continental,City of Vancouver,7,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3484&street=KINGSWAY,,,
73,Oakridge,696 w 45th ave,696 w 45th ave,TRUE,1,,122,1969,['Clifford Enterprises (canada) Ltd'],['Clifford Enterprises (canada) Ltd'],[],['Apartment House'],33411000,24678000,0.7386190177,,,,,CD-1 (17),,,,,,,
74,,41 e hastings st,41 e hastings st,TRUE,1,,120,2018,,,,,48396000,31794000,0.6569551203,,,,,,41 E Hastings,Atira Women’s Resource Society,,,,,
1468,West End,1360 burnaby st,1360 burnaby st,TRUE,1,,17,1946,['Telford Building Ltd'],['Telford Building Ltd'],['Luisa Court'],['Apartment House'],"$7,643,000.00","$39,300.00",0.005141959963,"$451,900.00",,,,RM-5A,,,,,,,
76,,3625 sawmill crescent,3625 sawmill crescent,TRUE,1,,119,2021,['Catalyst Community Developments Society'],['Catalyst Community Developments Society'],[],['Non-profit Housing'],0,0,,,,,,,Alder,Catalyst Community Developments Society,,,,,
